Source Code (sc),Language (slg),Source Type (fmt),Source Name (sn),Source Name - Native Language (asn),Directory Name (dn),Status Name (std),Discontinued Date (dsd),Type of  Coverage - Article Level (lva),Type of  Coverage - Source Level (lvs),Online Date (od),First Issue Online (fio),Description - English Language (de),Description - Native Language (dea),Frequency (frp),Online Availability Target (lag),Update Schedule (upn),External Notes (ntx),Pseudo-IP (pip),Source Web Site Address (url),Publisher Code (pbc),Publisher (pub),Circulation (cir),Circulation Source Code (cis),Circulation Source Name (csn),Primary Source Type Code (pst),Primary Source Type (psd),Source Family Group Code (sfg),Region of Origin Group Code (roo),Most Recent Issue Online (mri)
DIGCO,French,article,Digital Congo,Digital Congo,Digital Congo (French Language),Active,,Full Text,Full Coverage,20210108,20201026,"Digital Congo is a daily online publication focusing on local and international news, sport, business and politics. Country of origin: Democratic Republic of the Congo","Congo Digital Congo est une publication quotidienne en ligne axée sur l'actualité locale et internationale, le sport, les affaires et la politique. Pays d'origine: République démocratique du Congo",Daily,Same day as publication date,"Daily, as available",,ALBWBA,https://www.digitalcongo.net,PBMMCO,Multimedia Congo s.p.r.l.,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Central Africa (CEAFR); Congo Republic (CONGO),20210120
DPAC,Arabic,article,dpa International Service in Arabic,dpa International Service in Arabic,dpa International Service in Arabic (Arabic Language),Active,,Full Text,Full Coverage,20120814,20120809,"World News service produced at the desk of the Arabic service's operation in Cairo, 24 hours a day seven days a week. The items of the service cover all classical news agency categories. A network of correspondents and stringers contributes from more than 90 countries to the service. Country of origin: Egypt","World News service produced at the desk of the Arabic service's operation in Cairo, 24 hours a day seven days a week. The items of the service cover all classical news agency categories. A network of correspondents and stringers contributes from more than 90 countries to the service. Country of origin: Egypt",Daily,Continuously updated,Throughout the day,,DPADPA,http://www.dpa.com,DPADPA,dpa Deutsche Presse-Agentur GmbH,,,,NWSWR,Wires: Newswires,dpa International Service - All sources (SFDIS),Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20210122
AFRIBUK,English,article,East African Business Week,East African Business Week,East African Business Week,Active,,Full Text,Full Coverage,20140730,20140224,"Newspaper dedicated to business and financial news and covering the eastern part of Africa including Uganda, Tanzania, Kenya, Rwanda and Burundi. Country of origin: Uganda","Newspaper dedicated to business and financial news and covering the eastern part of Africa including Uganda, Tanzania, Kenya, Rwanda and Burundi. Country of origin: Uganda",Monday-Friday,Same day as publication date,3 p.m. (GMT),Does not include tables,EABWL,http://busiweek.com,EABWL,EABW Digital Limited,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); East Africa (EAFR); Uganda (UGANDA),20210121
EAAFRI,English,article,The East African,The East African,The East African,Active,,Full Text,Full Coverage,20130327,20130308,"Independent publication published by Nation Media Group and covering the East African region including Rwanda, it informs about politics, culture, economy and lifestyle. Country of origin: Kenya","Independent publication published by Nation Media Group and covering the East African region including Rwanda, it informs about politics, culture, economy and lifestyle. Country of origin: Kenya",Weekly,Same day as publication date,As available,,NMGL,http://www.theeastafrican.co.ke,NMGL,Nation Media Group Limited,,,,MAGPRI,"Print Editions: Magazines, Journals & Newsletters",,Africa (AFRICA); East Africa (EAFR); Kenya (KENYA),20210122
ECHRK,Arabic,article,Ech-Chorouk El Yaoumi,Ech-Chorouk El Yaoumi,"Ech-Chorouk El Yaoumi (Algeria, Arabic Language)",Active,,Full Text,Full Coverage,20190420,20190305,"Ech-Chorouk El Yaoumi is the electronic interface of Al-Shorouq Media and Publishing Complex, which currently includes 10 websites in various fields. It provides instant and ongoing coverage of events in Algeria, the Arab world and the world. Country of origin: Algeria","Ech-Chorouk El Yaoumi is the electronic interface of Al-Shorouq Media and Publishing Complex, which currently includes 10 websites in various fields. It provides instant and ongoing coverage of events in Algeria, the Arab world and the world. Country of origin: Algeria",Daily,Same day as publication date,As available,,ALBWBA,https://www.echoroukonline.com/,PBECHC,Ech-Chorouk Infed SARL,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Algeria (ALG); Mediterranean (MEDZ); North Africa (NAFR),20210120
LECNOM,French,article,L'Economiste,L'Economiste,"L'Economiste (Morocco, French Language)",Active,,Full Text,Full Coverage,20161018,20161018,"National newspaper covering economics, finance and business. Country of origin: Morocco","Quotidien national traitant des informations liées à l'économie, aux finances  et aux entreprises. Pays d'origine: Maroc",Monday-Friday,As available,As available,,ALBWBA,http://leconomiste.com,PBECOM,Groupe Eco-Media,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Mediterranean (MEDZ); Morocco (MOROC); North Africa (NAFR),20210122
EGYPEN,English,article,Egypt Independent,Egypt Independent,Egypt Independent,Active,,Full Text,Full Coverage,20131015,20130909,"Egypt Independent is the daily English-language newspaper, offering content about the political, economic, social and cultural landscape of the country. Country of origin: Egypt","Egypt Independent is the daily English-language newspaper, offering content about the political, economic, social and cultural landscape of the country. Country of origin: Egypt",Daily,Same day as publication date,"Daily, as available",,ALBWBA,http://www.egyptindependent.com,ALMASY,"Al-Masry Al-Youm For Press, Publishing, Distribution & Advertising",,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20210122
ASEGOG,English,article,Egypt Oil & Gas,Egypt Oil & Gas,Egypt Oil & Gas,Active,,Full Text,Full Coverage,20180517,20180131,"Business magazine providing coverage of the oil and gas sector with news, analysis, interviews and reports on latest developments in the industry. Country of origin: Egypt","Business magazine providing coverage of the oil and gas sector with news, analysis, interviews and reports on latest developments in the industry. Country of origin: Egypt",Monthly,Same day as publication date,As available,,ASINET2,http://egyptoil-gas.com,PBEOAG,Egypt Oil & Gas,,,,MAGPRI,"Print Editions: Magazines, Journals & Newsletters",,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20201231
EYGTDY,English,article,Egypt Today,Egypt Today,Egypt Today,Discontinued,20041109.0,Full Text,Selected Coverage,20010731,19970101,"Egypt Today, founded in 1979 by IBA, is a monthly publication designed for the English speaking community of Egypt.  It features stories on the arts and entertainment, culture, and lifestyles in Egypt. Country of origin: Egypt","Egypt Today, founded in 1979 by IBA, is a monthly publication designed for the English speaking community of Egypt.  It features stories on the arts and entertainment, culture, and lifestyles in Egypt. Country of origin: Egypt",Monthly,Discontinued,Not available,,FD2,,FD,"FDCH e-Media, Inc.",,,,MAGPRI,"Print Editions: Magazines, Journals & Newsletters",,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20041109
EGAZT,English,article,The Egyptian Gazette,The Egyptian Gazette,The Egyptian Gazette,Discontinued,20131105.0,Full Text,Full Coverage,20010731,19910331,"The only English-language Egyptian daily newspaper; features general, political, and economic news about Middle Eastern and Mediterranean countries. Country of origin: Egypt","The only English-language Egyptian daily newspaper; features general, political, and economic news about Middle Eastern and Mediterranean countries. Country of origin: Egypt",Daily,Discontinued,Not available,This source ceased publication.,ALBWBA,http://www.egy.com/,SODP,Societe Orientale de Publicite,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Egypt (EGYPT); Middle East (MEASTZ); Mediterranean (MEDZ); North Africa (NAFR),20130821
ELDJAZ,Arabic,article,Eldjazair Eldjadida,Eldjazair Eldjadida,"Eldjazair Eldjadida (Algeria, Arabic Language)",Active,,Full Text,Full Coverage,20191213,20191211,"Eldjazair Eldjadida is an Arabic daily newspaper from Algeria which delivers the latest in news, business, arts, culture, lifestyle and sports. Country of origin: Algeria","Eldjazair Eldjadida is an Arabic daily newspaper from Algeria which delivers the latest in news, business, arts, culture, lifestyle and sports. Country of origin: Algeria","Daily source, irregular weekend edition",1 day after publication date,Monday-Saturday,,ASINET2,http://www.eldjazaireldjadida.dz/,PBELDELD,Eldjazair Eldjadida,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Algeria (ALG); Mediterranean (MEDZ); North Africa (NAFR),20210121
ELHADA,Arabic,article,Elhadath,Elhadath,Elhadath (Arabic Language),Active,,Full Text,Full Coverage,20191213,20191213,Elhadath is an Arabic language news portal from Algeria. Country of origin: Algeria,Elhadath is an Arabic language news portal from Algeria. Country of origin: Algeria,4 times a week,1 day after publication date,As available,| The editions of 24 Sep 2020 to 12 Oct 2020 are not available |,ASINET2,http://www.elhadath-dz.com/,PBELEH,Elhadath,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Algeria (ALG); Mediterranean (MEDZ); North Africa (NAFR),20210120
SHAFA,Arabic,article,Es-Sahafa,Es-Sahafa,"Es-Sahafa (Tunisia, Arabic Language)",Active,,Full Text,Full Coverage,20161018,20161017,"National daily newspaper covering national and international news, current affairs, politics, sports and entertainment. Country of origin: Tunisia","National daily newspaper covering national and international news, current affairs, politics, sports and entertainment. Country of origin: Tunisia",Sunday-Thursday,As available,As available,,ALBWBA,http://www.essahafa.tn/index.php?id=5,PBSNIPE,La SNIPE,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Mediterranean (MEDZ); North Africa (NAFR); Tunisia (TUNIS),20210122
ETHPRO,English,article,Ethiopia PR Observer,Ethiopia PR Observer,Ethiopia PR Observer,Active,,Full Text,Full Coverage,20191213,20191211,An online portal covering Ethiopia. Includes press releases as well. Country of origin: Ethiopia,An online portal covering Ethiopia. Includes press releases as well. Country of origin: Ethiopia,"Daily source, irregular weekend edition",Same day as publication date,As available,,ASINET2,http://ethiopiaprobserver.com/,PBEPRO,Ethiopia PR Observer,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); East Africa (EAFR); Ethiopia (ETHPA),20210121
ETIAGEN,English,article,Ethiopian News Agency - ENA,Ethiopian News Agency - ENA,Ethiopian News Agency - ENA,Active,,Full Text,Full Coverage,20131010,20130909,"Ethiopian News Agency - ENA is an English language news agency from Ethiopia, covering business news, politics, culture and sports. Country of origin: Ethiopia","Ethiopian News Agency - ENA is an English language news agency from Ethiopia, covering business news, politics, culture and sports. Country of origin: Ethiopia",Daily,Continuously updated,As available,,ALBWBA,https://www.ena.et/en/,ETHNA,Ethiopian News Agency - ENA,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); East Africa (EAFR); Ethiopia (ETHPA),20210122
LEVENE,French,article,L’Evénement,L’Evénement,L’Evénement (French Language),Active,,Full Text,Full Coverage,20191223,20191210,"L’Evénement is a fortnightly magazine covering politics, entertainment, sports and culture. Country of origin: Burkina Faso","L’Evénement est un magazine bimensuel consacré à la politique, au divertissement, au sport et à la culture. Pays d'origine: Burkina Faso",Twice monthly,Same day as publication date,As available,,ASINET2,https://evenement-bf.net/,PBLEVEN,L'Evénement,,,,MAGPRI,"Print Editions: Magazines, Journals & Newsletters",,Africa (AFRICA); Burkina Faso (UPVOLA); West Africa (WAFR),20201010
LEVPRE,French,article,L'Evénement Précis,L'Evénement Précis,"L'Evénement Précis (Benin, French Language)",Active,,Full Text,Full Coverage,20191213,20191212,"L'Evénement Précis is a French newspaper covering general news including politics, society, art and culture, sports, health and environment. Country of origin: Benin","L'Evénement Précis est un quotidien consacré à l'actualité générale y compris la politique, la société, l'art, la culture, le sport, la santé et l'environnement. Pays d'origine: Bénin",4 times a week,As available,As available,,ASINET2,http://levenementprecis.com/,PBLEVPR,L'Evénement Précis,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Benin (BENIN); West Africa (WAFR),20210122
